Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-05,2023,2,5,,-1.3,,-9.1,,-5.2,,23.2,,0.0,,0.0,,0.0,T,0.0,T,21.0,,29.0,,86.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-06,2023,2,6,,4.6,,-4.8,,-0.1,,18.1,,0.0,,6.2,,9.2,,12.8,,8.0,,21.0,,72.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-07,2023,2,7,,-3.2,,-6.6,,-4.9,,22.9,,0.0,,0.0,,1.0,,0.4,,15.0,,7.0,,60.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-08,2023,2,8,,-0.3,,-3.2,,-1.8,,19.8,,0.0,,0.0,,5.0,,2.8,,16.0,,9.0,,55.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-09,2023,2,9,,-2.5,,-11.9,,-7.2,,25.2,,0.0,,0.0,,2.0,,0.8,,18.0,,33.0,,45.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-10,2023,2,10,,-1.0,,-11.1,,-6.1,,24.1,,0.0,,0.2,,9.4,,7.4,,19.0,,17.0,,93.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-11,2023,2,11,,1.9,,-10.5,,-4.3,,22.3,,0.0,,0.6,,1.0,,1.2,,25.0,,28.0,,82.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-12,2023,2,12,,-3.6,,-11.9,,-7.8,,25.8,,0.0,,0.0,,1.0,,0.2,,26.0,,31.0,,79.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-13,2023,2,13,,-1.4,,-5.8,,-3.6,,21.6,,0.0,,0.0,,1.0,,0.6,,24.0,,10.0,,55.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-14,2023,2,14,,-0.9,,-5.0,,-3.0,,21.0,,0.0,,0.8,,33.8,,29.2,,37.0,,4.0,,95.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-15,2023,2,15,,-1.0,,-6.6,,-3.8,,21.8,,0.0,,0.0,,4.0,,0.2,,60.0,,3.0,,96.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-16,2023,2,16,,1.9,,-6.1,,-2.1,,20.1,,0.0,,0.4,,0.0,,0.4,,56.0,,29.0,,69.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-17,2023,2,17,,3.3,,-1.5,,0.9,,17.1,,0.0,,7.4,,0.0,,7.4,,52.0,,27.0,,73.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-18,2023,2,18,,-1.3,,-12.2,,-6.8,,24.8,,0.0,,4.8,,13.0,,15.4,,47.0,,5.0,,61.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-19,2023,2,19,,-4.0,,-11.6,,-7.8,,25.8,,0.0,,0.0,,0.0,T,0.0,T,57.0,,29.0,,47.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-20,2023,2,20,,1.0,,-10.7,,-4.9,,22.9,,0.0,,0.0,T,0.0,,0.0,T,55.0,,19.0,,88.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-21,2023,2,21,,6.0,,-0.7,,2.7,,15.3,,0.0,,13.8,,0.0,,13.8,,41.0,,19.0,,99.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-22,2023,2,22,,0.1,,-7.2,,-3.6,,21.6,,0.0,,0.0,,14.6,,9.6,,31.0,,31.0,,77.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-23,2023,2,23,,-6.1,,-16.3,,-11.2,,29.2,,0.0,,0.0,,0.0,,0.0,,45.0,,31.0,,78.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-24,2023,2,24,,-13.0,,-16.4,,-14.7,,32.7,,0.0,,0.0,,0.4,,0.2,,39.0,E,32.0,,44.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-25,2023,2,25,,-12.8,,-15.4,,-14.1,,32.1,,0.0,,0.0,,2.2,,1.2,,40.0,,34.0,,50.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-26,2023,2,26,,-12.3,,-16.3,,-14.3,,32.3,,0.0,,0.0,,3.2,,1.6,,43.0,,32.0,,60.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-27,2023,2,27,,-10.7,,-16.4,,-13.6,,31.6,,0.0,,0.0,,0.0,T,0.0,T,45.0,,32.0,,45.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-02-28,2023,2,28,,-10.0,,-17.7,,-13.9,,31.9,,0.0,,0.0,,0.0,T,0.0,T,45.0,,36.0,,38.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-01,2023,3,1,,-7.4,,-12.0,,-9.7,,27.7,,0.0,,0.0,,0.0,T,0.0,T,45.0,,32.0,,61.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-02,2023,3,2,,-3.8,,-11.2,,-7.5,,25.5,,0.0,,0.0,,0.0,,0.0,,45.0,,31.0,,71.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-03,2023,3,3,,-3.2,,-11.3,,-7.3,,25.3,,0.0,,0.0,,0.0,,0.0,,,,33.0,,47.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-04,2023,3,4,,-3.6,,-10.9,,-7.3,,25.3,,0.0,,0.0,,0.0,,0.0,,43.0,,32.0,,63.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-05,2023,3,5,,-3.2,,-11.7,,-7.5,,25.5,,0.0,,0.0,T,0.0,,0.0,T,43.0,,30.0,,42.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-06,2023,3,6,,-1.5,,-5.1,,-3.3,,21.3,,0.0,,0.0,,0.2,,0.0,T,39.0,,,M,,M
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-07,2023,3,7,,1.4,,-4.1,,-1.4,,19.4,,0.0,,6.8,,1.0,,7.6,,37.0,,8.0,,57.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-08,2023,3,8,,0.1,,-0.8,,-0.4,,18.4,,0.0,,0.0,,0.2,,0.2,,30.0,,5.0,,72.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-09,2023,3,9,,0.3,,-2.1,,-0.9,,18.9,,0.0,,0.0,,0.0,T,0.0,T,29.0,,3.0,,92.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-10,2023,3,10,,0.0,,-2.3,,-1.2,,19.2,,0.0,,0.0,,7.2,,4.2,,30.0,,35.0,,72.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-11,2023,3,11,,0.1,,-0.6,,-0.3,,18.3,,0.0,,0.0,,12.4,,12.0,,39.0,,3.0,,71.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-12,2023,3,12,,-0.5,,-2.4,,-1.5,,19.5,,0.0,,0.0,,0.0,T,0.0,T,42.0,,36.0,,63.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-13,2023,3,13,,0.6,,-3.6,,-1.5,,19.5,,0.0,,0.0,T,0.0,,0.0,T,42.0,,3.0,,59.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-14,2023,3,14,,0.5,,-5.5,,-2.5,,20.5,,0.0,,0.0,,0.0,,0.0,,41.0,,3.0,,40.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-15,2023,3,15,,-1.0,,-4.8,,-2.9,,20.9,,0.0,,0.0,,3.4,,2.4,,40.0,,11.0,,63.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-16,2023,3,16,,0.4,,-1.2,,-0.4,,18.4,,0.0,,6.6,,6.4,,10.8,,47.0,,8.0,,64.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-17,2023,3,17,,0.4,,-1.3,,-0.5,,18.5,,0.0,,0.0,,4.6,,3.8,,41.0,,34.0,,49.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-18,2023,3,18,,1.6,,-1.5,,0.1,,17.9,,0.0,,0.0,T,0.0,,0.0,T,40.0,,31.0,,47.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-19,2023,3,19,,4.4,,-1.8,,1.3,,16.7,,0.0,,6.2,,0.0,T,6.2,,34.0,,26.0,,73.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-20,2023,3,20,,0.2,,-3.2,,-1.5,,19.5,,0.0,,0.0,,0.0,T,0.0,T,30.0,,26.0,,105.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-21,2023,3,21,,1.4,,-2.6,,-0.6,,18.6,,0.0,,0.0,,0.0,T,0.0,T,30.0,,30.0,,97.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-22,2023,3,22,,2.4,,-4.1,,-0.9,,18.9,,0.0,,0.0,,2.4,,1.4,,30.0,,29.0,,47.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-23,2023,3,23,,-0.6,,-8.4,,-4.5,,22.5,,0.0,,0.0,,8.2,,2.8,,34.0,,31.0,,56.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-24,2023,3,24,,-1.6,,-8.0,,-4.8,,22.8,,0.0,,0.0,,17.6,,13.8,,30.0,,8.0,,92.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-25,2023,3,25,,-0.1,,-1.7,,-0.9,,18.9,,0.0,,0.0,,6.6,,4.8,,51.0,,5.0,,85.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-26,2023,3,26,,0.5,,-1.9,,-0.7,,18.7,,0.0,,0.0,,0.0,T,0.0,T,52.0,,34.0,,56.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-27,2023,3,27,,1.1,,-2.0,,-0.5,,18.5,,0.0,,0.0,,0.0,T,0.0,T,48.0,,36.0,,45.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-28,2023,3,28,,0.6,,-1.5,,-0.5,,18.5,,0.0,,0.0,,0.2,,0.2,,41.0,,2.0,,49.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-29,2023,3,29,,0.1,,-4.2,,-2.1,,20.1,,0.0,,0.0,,0.0,T,0.0,T,40.0,,35.0,,46.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-30,2023,3,30,,1.9,,-5.3,,-1.7,,19.7,,0.0,,0.0,,0.0,,0.0,,40.0,,,M,,M
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-03-31,2023,3,31,,-0.4,,-6.9,,-3.7,,21.7,,0.0,,0.0,,0.0,T,0.0,T,33.0,,,M,,M
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-01,2023,4,1,,4.6,,-6.7,,-1.1,,19.1,,0.0,,0.0,,5.4,,5.0,,32.0,,16.0,,66.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-02,2023,4,2,,7.4,,-1.2,,3.1,,14.9,,0.0,,0.4,,1.4,,3.6,,30.0,,16.0,,71.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-03,2023,4,3,,0.4,,-2.9,,-1.3,,19.3,,0.0,,0.0,,0.0,,0.0,,21.0,,26.0,,71.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-04,2023,4,4,,3.1,,-2.4,,0.4,,17.6,,0.0,,0.0,,0.2,,0.2,,21.0,,27.0,,58.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-05,2023,4,5,,2.2,,-5.9,,-1.9,,19.9,,0.0,,0.0,,0.0,T,0.0,T,17.0,,31.0,,73.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-06,2023,4,6,,2.7,,-6.2,,-1.8,,19.8,,0.0,,0.0,,0.0,,0.0,,15.0,,28.0,,49.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-07,2023,4,7,,5.0,,-1.7,,1.7,,16.3,,0.0,,1.6,,0.0,,1.6,,10.0,,29.0,,62.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-08,2023,4,8,,2.0,,-5.7,,-1.9,,19.9,,0.0,,0.0,,0.0,T,0.0,T,8.0,,30.0,,59.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-09,2023,4,9,,-0.2,,-7.1,,-3.7,,21.7,,0.0,,0.0,,0.0,T,0.0,T,7.0,,29.0,,55.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-10,2023,4,10,,4.6,,-6.2,,-0.8,,18.8,,0.0,,0.0,,0.6,,0.2,,7.0,,26.0,,53.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-11,2023,4,11,,10.6,,-0.6,,5.0,,13.0,,0.0,,0.0,,0.0,,0.0,,4.0,,25.0,,53.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-12,2023,4,12,,9.2,,-0.4,,4.4,,13.6,,0.0,,2.2,,0.0,,2.2,,4.0,,18.0,,44.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-13,2023,4,13,,2.1,,-0.6,,0.8,,17.2,,0.0,,0.2,,0.0,T,0.2,,2.0,,36.0,,46.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-14,2023,4,14,,4.7,,0.2,,2.5,,15.5,,0.0,,1.6,,0.0,T,1.6,,0.0,T,31.0,,60.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-15,2023,4,15,,5.8,,-0.1,,2.9,,15.1,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,36.0,,77.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-16,2023,4,16,,9.2,,-2.8,,3.2,,14.8,,0.0,,0.0,,0.0,,0.0,,0.0,T,32.0,,44.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-17,2023,4,17,,2.7,,-4.5,,-0.9,,18.9,,0.0,,0.0,,0.6,,0.6,,0.0,T,,M,,M
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-18,2023,4,18,,3.1,,-5.4,,-1.2,,19.2,,0.0,,0.0,,0.0,,0.0,,0.0,T,16.0,,47.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-19,2023,4,19,,3.0,,-1.6,,0.7,,17.3,,0.0,,4.2,,0.0,,4.2,,0.0,T,15.0,,62.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-20,2023,4,20,,1.8,,0.1,,1.0,,17.0,,0.0,,26.4,,0.6,,27.0,,0.0,T,8.0,,73.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-21,2023,4,21,,2.7,,0.1,,1.4,,16.6,,0.0,,4.6,,2.6,,6.6,,0.0,T,8.0,,69.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-22,2023,4,22,,2.8,,0.9,,1.9,,16.1,,0.0,,7.0,,0.0,,7.0,,0.0,T,1.0,,71.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-23,2023,4,23,,3.1,,0.7,,1.9,,16.1,,0.0,,0.6,,0.0,,0.6,,0.0,T,3.0,,60.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-24,2023,4,24,,3.0,,0.4,,1.7,,16.3,,0.0,,0.6,,0.0,,0.6,,,,2.0,,54.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-25,2023,4,25,,1.8,,-0.2,,0.8,,17.2,,0.0,,0.6,,0.0,T,0.6,,0.0,T,4.0,,49.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-26,2023,4,26,,4.3,,-0.1,,2.1,,15.9,,0.0,,0.0,,0.2,,0.2,,0.0,T,3.0,,53.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-27,2023,4,27,,4.3,,-1.5,,1.4,,16.6,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,2.0,,49.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-28,2023,4,28,,4.8,,-1.4,,1.7,,16.3,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,35.0,,60.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-29,2023,4,29,,2.8,,-0.6,,1.1,,16.9,,0.0,,0.0,,0.0,T,0.4,,0.0,T,36.0,,68.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-04-30,2023,4,30,,3.4,,-0.5,,1.5,,16.5,,0.0,,0.0,T,0.0,,0.0,T,0.0,T,2.0,,74.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-01,2023,5,1,,4.2,,-0.6,,1.8,,16.2,,0.0,,0.0,T,0.0,,0.0,T,0.0,T,2.0,,63.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-02,2023,5,2,,5.0,,-1.4,,1.8,,16.2,,0.0,,0.0,T,0.0,,0.0,T,0.0,T,5.0,,48.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-03,2023,5,3,,4.6,,-0.6,,2.0,,16.0,,0.0,,1.4,,0.0,,1.4,,0.0,T,5.0,,32.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-04,2023,5,4,,3.0,,1.1,,2.1,,15.9,,0.0,,10.0,,0.0,,10.0,,0.0,T,5.0,,55.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-05,2023,5,5,,1.6,,-1.5,,0.1,,17.9,,0.0,,5.6,,0.0,,5.6,,0.0,T,3.0,,66.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-06,2023,5,6,,4.7,,-1.0,,1.9,,16.1,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,34.0,,46.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-07,2023,5,7,,10.7,,0.4,,5.6,,12.4,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,27.0,,52.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-08,2023,5,8,,12.9,,2.8,,7.9,,10.1,,0.0,,2.4,,0.0,,2.4,,0.0,T,20.0,,66.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-09,2023,5,9,,8.2,,1.5,,4.9,,13.1,,0.0,,2.0,,0.0,,2.0,,0.0,T,29.0,,93.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-10,2023,5,10,,9.8,,-0.6,,4.6,,13.4,,0.0,,0.0,,0.0,,0.0,,,,28.0,,74.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-11,2023,5,11,,11.2,,-1.4,,4.9,,13.1,,0.0,,0.0,,0.0,,0.0,,,,30.0,,50.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-12,2023,5,12,,8.6,,-0.8,,3.9,,14.1,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-13,2023,5,13,,13.6,,-0.7,,6.5,,11.5,,0.0,,4.4,,0.0,,4.4,,,,18.0,,64.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-14,2023,5,14,,10.9,,3.0,,7.0,,11.0,,0.0,,6.0,,0.0,,6.0,,,,27.0,,72.0,
-52.75,47.62,ST. JOHN'S INTL A,8403505,2023-05-15,2023,5,15,,11.1,,2.9,,7.0,,11.0,,0.0,,0.4,,0.0,,0.4,,,,26.0,,62.0,
